Programområdekode,Utdanningsprogram,Programområde,2022,2023,2024
DHSPD3,Design og håndverk,DHSPD3 - Skinn- og pelsduodjifaget,4.0,1.0,1.0
DHSTU3,Design og håndverk,DHSTU3 - Storurmakerfaget,1.0,,
DHTDR3,Design og håndverk,DHTDR3 - Tredreierfaget,,1.0,1.0
DHTED3,Design og håndverk,DHTED3 - Tekstilduodjifaget,1.0,,
DHTKS3,Design og håndverk,DHTKS3 - Taksidermistfaget,2.0,2.0,
DHTRB3,Design og håndverk,DHTRB3 - Trebåtbyggerfaget,13.0,4.0,1.0
DHTSK3,Design og håndverk,DHTSK3 - Treskjærerfaget,1.0,1.0,
DHURM3,Design og håndverk,DHURM3 - Urmakerfaget,8.0,4.0,
EL,Elektro og datateknologi,Alle programområder,9396.0,9841.0,9840.0
ELAUT3,Elektro og datateknologi,ELAUT3 - Automatiseringsfaget,800.0,880.0,903.0
ELAVI4,Elektro og datateknologi,ELAVI4 - Avionikerfaget,50.0,50.0,54.0
ELDAT3,Elektro og datateknologi,ELDAT3 - Dataelektronikerfaget,436.0,417.0,365.0
ELDRF3,Elektro og datateknologi,ELDRF3 - Droneoperatørfaget,,11.0,28.0
ELELE3,Elektro og datateknologi,ELELE3 - Elektrikerfaget,5870.0,5974.0,5840.0
ELEMO3,Elektro og datateknologi,ELEMO3 - Energimontørfaget,711.0,763.0,836.0
ELEOP3,Elektro og datateknologi,ELEOP3 - Energioperatørfaget,72.0,88.0,87.0
ELERF3,Elektro og datateknologi,ELERF3 - Elektroreparatørfaget,44.0,36.0,36.0
ELFMO4,Elektro og datateknologi,ELFMO4 - Flymotormekanikerfaget,18.0,20.0,20.0
ELFST4,Elektro og datateknologi,ELFST4 - Flystrukturmekanikerfaget,4.0,4.0,5.0
ELFSY4,Elektro og datateknologi,ELFSY4 - Flysystemmekanikerfaget,105.0,119.0,130.0
ELFUO3,Elektro og datateknologi,ELFUO3 - Fjernstyrte undervannsoperasjoner,108.0,146.0,162.0
ELHEI3,Elektro og datateknologi,ELHEI3 - Heismontørfaget,91.0,113.0,103.0
ELKUL3,Elektro og datateknologi,ELKUL3 - Kulde- og varmepumpemontørfaget,94.0,17.0,4.0
ELKVP3,Elektro og datateknologi,ELKVP3 - Kulde- og varmepumpeteknikkfaget,61.0,169.0,199.0
ELLSM3,Elektro og datateknologi,ELLSM3 - Låsesmedfaget,22.0,52.0,76.0
ELMEL4,Elektro og datateknologi,ELMEL4 - Maritim elektrikerfaget vg3 i bedrift,135.0,140.0,151.0
ELOPT3,Elektro og datateknologi,ELOPT3 - Optronikerfaget,1.0,1.0,
ELPRO3,Elektro og datateknologi,ELPRO3 - Produksjonselektronikerfaget,66.0,85.0,83.0
ELSIG3,Elektro og datateknologi,ELSIG3 - Signalmontørfaget,65.0,74.0,78.0
